filename|raw_text|normalized_text
common_voice_be_28980742.wav|Тое ж самае з бюджэтнікамі.|тое ж самае з бюджэтнікамі.
common_voice_be_28980744.wav|Ён сімвалізуе сяброўства дзвюх краін.|ён сімвалізуе сяброўства дзвюх краін.
common_voice_be_28980762.wav|Зайздросную мажлівасць убачыць і адчуць гэта мае беларускі глядач.|зайздросную мажлівасць убачыць і адчуць гэта мае беларускі глядач.
common_voice_be_28980766.wav|І цяжка нават сказаць дзе ты больш сапраўдны.|і цяжка нават сказаць дзе ты больш сапраўдны.
common_voice_be_28980769.wav|Ён нам вельмі блізкі.|ён нам вельмі блізкі.
common_voice_be_28980789.wav|Выходзіць, з-за рыбы гэтую салату нельга?|выходзіць, з-за рыбы гэтую салату нельга?
common_voice_be_28980790.wav|Далейшы лёс гэтага чалавека невядомы.|далейшы лёс гэтага чалавека невядомы.
common_voice_be_28980815.wav|Таму магу і выбіраць.|таму магу і выбіраць.
common_voice_be_28980818.wav|З ланкійскага досведу можна зрабіць высновы.|з ланкійскага досведу можна зрабіць высновы.
common_voice_be_28980819.wav|Аднак гэта далёка не адзіны дэфект беларускай мадэлі.|аднак гэта далёка не адзіны дэфект беларускай мадэлі.
common_voice_be_28980830.wav|Увогуле, вельмі важна таксама, хто будзе сядзець побач.|увогуле, вельмі важна таксама, хто будзе сядзець побач.
common_voice_be_28980834.wav|І цяпер з гэтым усе згодныя, а гэта была мая прапанова.|і цяпер з гэтым усе згодныя, а гэта была мая прапанова.
common_voice_be_28980838.wav|Было лягчэй ў самым пачатку.|было лягчэй ў самым пачатку.
common_voice_be_28980860.wav|Некалькі адрозніваюцца толькі высновы, зробленыя трэцяй групай.|некалькі адрозніваюцца толькі высновы, зробленыя трэцяй групай.
common_voice_be_28980862.wav|І там таннейшыя прадукты.|і там таннейшыя прадукты.
common_voice_be_28980890.wav|Цікава нават, на колькі ж сотняў тысяч долараў я ў свой час натаптаў?|цікава нават, на колькі ж сотняў тысяч долараў я ў свой час натаптаў?
common_voice_be_28980894.wav|Усе замаўляюць у пастаўшчыкоў ужо мытыя яйкі.|усе замаўляюць у пастаўшчыкоў ужо мытыя яйкі.
common_voice_be_28980895.wav|А можа, мову, на якой гаворыш кожны дзень?|а можа, мову, на якой гаворыш кожны дзень?
common_voice_be_28980907.wav|Нічога не змянілася і цяпер.|нічога не змянілася і цяпер.